0.3	127.7624144	6.092
0.369361	127.7357641	6.311
0.454759	127.6763946	6.628
0.559902	127.296807	6.825
0.689354	127.2120819	7.134
0.848735	127.1767464	7.506
1.044967	127.0310566	7.936
1.286568	126.8932177	8.306
1.584028	126.7427308	8.843
1.950263	126.5584538	9.251
2.401172	126.4031103	9.76
2.956334	126.2362283	10.16
3.639852	126.0536601	10.752
4.481401	125.8596038	11.165
5.517522	125.6663382	11.684
6.793198	125.4653956	12.071
8.363815	125.2480031	12.481
10.297567	125.0290439	12.816
12.678411	124.805654	13.183
15.609717	124.5682061	13.38
19.218754	124.3363775	13.692
23.662216	124.0987795	13.861
29.133028	123.8523953	14.087
35.868717	123.6381392	14.291
44.161728	123.390283	14.364
54.37212	123.1572152	14.683
66.943199	122.9316074	14.851
82.420769	122.6955213	15.062
101.476822	122.4671497	15.281
124.938721	122.2201635	15.597
153.825119	121.9787589	15.928
189.390182	121.7331641	16.305
233.17804	121.4739518	16.768
287.089844	121.2199108	17.197
353.466309	120.961123	17.674
435.189301	120.6878527	18.42
535.807007	120.4110131	18.946
659.687988	120.1289719	19.655
812.210815	119.8290483	20.477
1000	119.5223601	21.18
